Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Alsip,ALSIP BP INC.,200701804,5,2917700.87,2639215.23,278485.64,1029919,751433.36,278485.64,97470.25,83136.39,14333.86
Alsip,"ALSIP MARATHON, INC.",190703587,6,4629892.49,4185418.78,444473.71,1404913,960439.29,444473.71,155565.9,132688.59,22877.31
Alsip,"Alsip Memorial V.F.W. Post 450, Inc.",120907757,6,1739563.69,1575312.33,164251.36,524360,360108.64,164251.36,57488.25,49034.09,8454.16
Alsip,ALSIP PARK DISTRICT,180701743,6,338709.61,309362.89,29346.72,111838,82490.88,29347.12,10271.6,8761.08,1510.52
Alsip,"ALSIP RESTAURANT AND LOUNGE, INC.",130700172,6,2219689.26,2013359.45,206329.81,716644,510308.94,206335.06,72217.47,61597.24,10620.23
Alsip,ALSIP SIMPLE MART INC.,190703588,6,2588374.3,2342110.54,246263.76,934001,687737.04,246263.96,86192.53,73517.16,12675.37
Alsip,"Beg Snake Johnson, LLC",120701150,6,1203577.85,1092596.73,110981.12,375942,264960.88,110981.12,38843.63,33131.33,5712.3
Alsip,"Blackhawk Restaurant Group, LLC Series APAlsip",130702143,6,4513240.8,4116502.22,396738.58,1576445,1179706.42,396738.58,138858.86,118438.43,20420.43
Alsip,"C.C.A.A., Incorporated",160701492,6,550510.2,492400.99,58109.21,243447,185337.79,58109.21,20338.43,17347.48,2990.95
Alsip,Deuces Alsip LLC,200700651,6,2804260.2,2541076.08,263184.12,999134,735949.88,263184.12,92114.67,78568.41,13546.26
Alsip,"ELITE GROUP ENTERTAINMENT, INC.",200700388,6,5135005.23,4664273.4,470731.83,1821701,1350969.17,470731.83,164756.22,140527.36,24228.86
Alsip,"Illinois Café & Service Company, LLC",130704838,6,3655608.96,3322750.48,332858.48,1333164,1000305.52,332858.48,116500.67,99368.23,17132.44
Alsip,IMPERIAL PLACE INC.,190701454,6,1513152.3,1371072.97,142079.33,516081,374001.67,142079.33,49727.89,42414.97,7312.92
Alsip,"Jokers Alsip, Inc.",210700233,5,272901.38,251070.59,21830.79,122736,100905.65,21830.35,7640.68,6517.06,1123.62
Alsip,"KATIE'S GAMING CAFE, INC.",200702498,6,2744303.65,2511595.44,232708.21,1008976,776267.79,232708.21,81448.02,69470.38,11977.64
Alsip,"LENNY'S GAS N WASH 127TH AND KOSTNER, LLC",211003784,10,10243427.19,9338225.8,905201.39,3950214,3044849.51,905364.49,316877.72,270278.06,46599.66
Alsip,"LUCKY BURRITO # 2 , INC.",230700324,6,596900.26,545758.51,51141.75,211856,160713.87,51142.13,17899.97,15267.62,2632.35
Alsip,"Lucky Location, Inc.",240702043,6,2220446.09,2038020.5,182425.59,824435,642009.41,182425.59,63849.08,54459.51,9389.57
Alsip,MARD GAS STATION LLC,210700297,6,1837996.61,1652786.69,185209.92,647261,462051.08,185209.92,64823.73,55290.83,9532.9
Alsip,"NICK'S B.B.Q., INC.",170704232,6,1396814.69,1245898.29,150916.4,493336,342419.6,150916.4,52821,45053.21,7767.79
Alsip,Niyan Corporation,230701021,6,1789404.2,1606741.65,182662.55,700987,518324.45,182662.55,63931.98,54530.22,9401.76
Alsip,Pilot Travel Centers LLC,151003543,6,3734920.66,3338969.98,395950.68,1438858,1042809.33,396048.67,138617.18,118232.3,20384.88
Alsip,"Red Shoe Billiards, Inc.",120705741,6,933155.65,824051.83,109103.82,377450,268346.18,109103.82,38186.51,32570.84,5615.67
Alsip,"SAROOR, LLC",240700902,6,702886.04,661774.86,41111.18,336817,295705.82,41111.18,14389.15,12273.1,2116.05
Alsip,"Simon Oil Inc.,",200700275,6,1977392.66,1793683.85,183708.81,738069,554368.74,183700.26,64295.26,54840.06,9455.2
Alsip,Speedway LLC,230702549,6,848911.32,773114.91,75796.41,343223,267426.01,75796.99,26529.16,22627.82,3901.34
Alsip,"Stella's - Quarry Plaza, LLC",150701416,6,3882263.71,3559741.28,322522.43,1254809,932286.57,322522.43,112883.02,96282.59,16600.43
Alsip,The Idler Corporation,120701209,6,3746899.43,3423221.57,323677.86,1273870,950192.14,323677.86,113287.45,96627.54,16659.91
Alsip,Village Sportsmens Club,140703011,6,1827715.74,1655893.2,171822.54,626617,454794.46,171822.54,60137.94,51294.13,8843.81
Altamont,"Bella's Enterprises, LLC",180703961,6,644081.81,571226.78,72855.03,233411,160555.97,72855.03,25499.36,21749.45,3749.91
Altamont,"Fred and Scottmo Enterprises, LLC",170702964,5,427406.22,393975.61,33430.61,144541,111110.39,33430.61,11700.79,9980.08,1720.71
Altamont,"MJC Altamont, Inc.",130704401,4,496404.95,458084.64,38320.31,137151,98830.89,38320.11,13412.18,11439.79,1972.39
Altamont,"Ramsey Enterprises, LLC",160701987,3,124460.57,115465.42,8995.15,34512,25516.76,8995.24,3148.4,2685.4,463
